States,Number of Employees,Hourly mean wage,Annual mean wage (2),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
New York,15810.0,48.45,100770.0,32.06,38.2,47.8,55.01,62.67,66680.0,79450.0,99430.0,114410.0,130350.0,1.656999945640564,1.0299999713897705
North Carolina,7350.0,45.96,95600.0,35.02,38.97,46.47,51.29,58.36,72850.0,81060.0,96670.0,106680.0,121380.0,1.5010000467300415,0.9300000071525574
North Dakota,860.0,43.21,89870.0,34.98,37.19,41.43,48.86,52.7,72750.0,77340.0,86180.0,101630.0,109620.0,2.0360000133514404,1.2599999904632568
Ohio,9240.0,47.84,99500.0,36.09,39.19,47.95,51.52,59.29,75070.0,81510.0,99740.0,107160.0,123330.0,1.6720000505447388,1.0399999618530271
Oklahoma,2430.0,47.0,97760.0,31.73,39.27,47.7,53.96,61.48,66000.0,81680.0,99220.0,112240.0,127880.0,1.434999942779541,0.8899999856948853
Oregon,3000.0,50.07,104150.0,38.27,40.91,50.21,59.37,62.28,79610.0,85100.0,104430.0,123500.0,129540.0,1.52400004863739,0.9399999976158142
Pennsylvania,11100.0,47.51,98830.0,35.58,39.7,47.87,53.15,60.48,74000.0,82570.0,99570.0,110550.0,125810.0,1.8450000286102293,1.1399999856948853
Puerto Rico,510.0,22.95,47730.0,9.97,10.87,23.54,27.77,35.84,20740.0,22620.0,48960.0,57760.0,74550.0,0.5479999780654907,0.3400000035762787
Rhode Island,1420.0,47.21,98190.0,35.58,38.96,49.47,52.71,62.59,74000.0,81050.0,102900.0,109630.0,130180.0,2.881999969482422,1.7899999618530271
South Carolina,4170.0,46.46,96630.0,35.3,39.12,48.54,51.94,57.48,73420.0,81360.0,100950.0,108040.0,119560.0,1.8350000381469729,1.1399999856948853
South Dakota,940.0,43.4,90270.0,32.54,38.34,42.9,48.77,51.3,67670.0,79750.0,89240.0,101440.0,106710.0,2.0820000171661377,1.2899999618530271
Tennessee,4420.0,47.16,98090.0,35.65,39.69,48.4,52.46,59.52,74160.0,82550.0,100660.0,109110.0,123800.0,1.350000023841858,0.8399999737739563
Texas,18930.0,51.18,106450.0,35.76,41.13,49.86,59.69,65.09,74380.0,85560.0,103710.0,124160.0,135390.0,1.3669999837875366,0.8500000238418579
Utah,2330.0,46.6,96920.0,25.71,37.93,46.91,53.99,63.93,53470.0,78900.0,97580.0,112290.0,132970.0,1.3639999628067017,0.8500000238418579
Vermont,690.0,45.22,94060.0,37.21,38.27,45.12,49.16,54.78,77410.0,79610.0,93840.0,102240.0,113940.0,2.2690000534057617,1.409999966621399
Virginia,6700.0,49.51,102990.0,36.46,39.69,48.42,56.37,62.23,75830.0,82560.0,100710.0,117240.0,129440.0,1.64900004863739,1.0199999809265137
Washington,5460.0,49.44,102830.0,36.08,40.4,49.11,59.57,64.63,75040.0,84020.0,102140.0,123910.0,134430.0,1.5429999828338623,0.959999978542328
West Virginia,1330.0,47.82,99470.0,34.04,39.65,48.66,55.63,61.47,70790.0,82470.0,101210.0,115710.0,127860.0,1.8919999599456787,1.1699999570846558
Wisconsin,5240.0,47.76,99340.0,37.92,41.59,48.29,52.08,58.55,78870.0,86510.0,100440.0,108330.0,121780.0,1.7929999828338623,1.1100000143051147
Wyoming,510.0,48.13,100100.0,37.76,40.44,48.62,55.79,58.55,78540.0,84110.0,101130.0,116040.0,121780.0,1.825000047683716,1.1299999952316284
