States,Number of Employees,Hourly mean wage,Annual mean wage (2),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
South Carolina,1940.0,44.38,92310.0,31.5,38.16,46.81,51.52,55.46,65530.0,79360.0,97370.0,107160.0,115350.0,0.8550000190734863,0.8700000047683716
South Dakota,520.0,39.69,82560.0,29.75,36.1,39.15,44.59,48.1,61890.0,75090.0,81430.0,92750.0,100040.0,1.149999976158142,1.159999966621399
Tennessee,2490.0,44.76,93100.0,32.66,38.62,46.17,50.09,55.42,67920.0,80340.0,96030.0,104190.0,115280.0,0.7620000243186951,0.7699999809265137
Texas,11700.0,49.59,103150.0,33.51,39.66,48.93,59.58,65.57,69700.0,82500.0,101760.0,123920.0,136380.0,0.8450000286102295,0.8600000143051147
Utah,970.0,44.38,92310.0,30.87,39.64,44.86,48.82,57.43,64210.0,82460.0,93310.0,101550.0,119450.0,0.5649999976158142,0.5699999928474426
Vermont,340.0,42.23,87840.0,32.22,36.5,41.55,47.65,51.95,67010.0,75930.0,86420.0,99100.0,108060.0,1.1150000095367432,1.1299999952316284
Virginia,3670.0,47.94,99710.0,28.1,39.0,48.34,55.69,64.03,58440.0,81120.0,100540.0,115840.0,133170.0,0.9020000100135804,0.9100000262260436
Washington,3410.0,50.56,105160.0,38.37,45.61,49.21,57.91,62.8,79810.0,94870.0,102360.0,120440.0,130630.0,0.9639999866485596,0.9800000190734864
West Virginia,680.0,44.76,93100.0,27.38,36.09,44.84,51.67,60.95,56940.0,75060.0,93260.0,107470.0,126770.0,0.9670000076293944,0.9800000190734864
Wisconsin,3620.0,42.69,88780.0,34.15,37.29,41.66,47.88,51.57,71030.0,77570.0,86660.0,99580.0,107260.0,1.2369999885559082,1.25
Wyoming,350.0,43.73,90960.0,33.29,37.39,42.97,48.89,59.1,69240.0,77770.0,89370.0,101690.0,122930.0,1.253000020980835,1.2699999809265137
