States,Number of Employees,Hourly mean wage,Annual mean wage (2),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Ohio,600,54.28,112910.0,34.87,40.76,47.17,50.24,59.85,72520.0,84780.0,98110.0,104510.0,124480.0,0.1080000028014183,0.8899999856948853
Oklahoma,200,42.75,88920.0,34.09,36.42,41.57,49.11,51.1,70900.0,75760.0,86460.0,102150.0,106290.0,0.11999999731779099,0.9900000095367432
Oregon,240,60.45,125740.0,47.24,50.35,60.42,66.67,78.01,98250.0,104730.0,125680.0,138680.0,162270.0,0.12300000339746475,1.0199999809265137
Pennsylvania,800,47.2,98170.0,36.83,38.21,47.32,51.85,59.39,76610.0,79470.0,98420.0,107840.0,123540.0,0.13300000131130219,1.100000023841858
Puerto Rico,,19.44,40430.0,17.05,17.37,17.37,23.71,24.81,35460.0,36130.0,36130.0,49310.0,51590.0,,
South Carolina,220,46.75,97240.0,35.0,37.86,46.8,48.66,56.33,72790.0,78750.0,97350.0,101200.0,117170.0,0.0949999988079071,0.7900000214576721
South Dakota,,43.34,90150.0,37.06,38.97,45.18,46.97,46.97,77090.0,81060.0,93960.0,97690.0,97690.0,,
Tennessee,510,39.3,81740.0,33.67,37.1,37.35,41.55,47.81,70020.0,77170.0,77690.0,86420.0,99450.0,0.15700000524520874,1.2899999618530273
Texas,1440,57.95,120540.0,39.59,46.15,48.91,56.46,62.12,82350.0,95980.0,101740.0,117440.0,129210.0,0.10400000214576721,0.8600000143051147
Utah,90,53.6,111490.0,42.95,47.42,50.02,54.36,78.39,89340.0,98640.0,104040.0,113070.0,163040.0,0.05400000140070915,0.4399999976158142
Vermont,60,47.62,99050.0,38.96,41.27,51.72,52.21,55.15,81040.0,85850.0,107580.0,108590.0,114700.0,0.20100000500679016,1.649999976158142
Virginia,760,52.42,109040.0,39.27,46.67,49.36,59.87,63.6,81690.0,97080.0,102680.0,124530.0,132290.0,0.18700000643730164,1.5399999618530273
Washington,450,76.75,159630.0,47.08,51.34,62.07,70.13,82.85,97930.0,106790.0,129100.0,145860.0,172330.0,0.12700000405311584,1.0499999523162842
West Virginia,80,45.17,93960.0,33.21,39.53,48.01,50.3,50.83,69080.0,82220.0,99850.0,104620.0,105730.0,0.11400000005960464,0.9399999976158142
Wisconsin,490,45.24,94100.0,36.09,37.97,43.64,50.99,53.88,75070.0,78970.0,90760.0,106070.0,112070.0,0.1679999977350235,1.3899999856948853
