program_id,school_name,city,state,degree_type
446,Clarkson University,,New York,MOT
447,Columbia University,,New York,MOT
449,Dominican University New York,,New York,MOT
448,D’Youville University,,New York,MOT
450,Hofstra University,,New York,MOT
451,Iona University,,New York,MOT
452,Ithaca College,,New York,MOT
453,Keuka College,,New York,MOT
454,Le Moyne College,,New York,MOT
455,"Long Island University, Brooklyn",,New York,MOT
456,Maria College,,New York,MOT
457,Mercy University,,New York,MOT
458,Nazareth University,,New York,MOT
459,New York Institute of Technology,,New York,MOT
442,New York Institute of Technology,,New York,OTD
460,New York University,,New York,MOT
461,Pace University - Westchester Campus,,New York,MOT
443,Roberts Wesleyan University,,New York,OTD
462,Russell Sage College,,New York,MOT
444,Russell Sage College,,New York,OTD
463,St. Bonaventure University,,New York,MOT
464,State University of New York Downstate Health Sciences University,,New York,MOT
465,Stony Brook University,,New York,MOT
466,Touro University,,New York,MOT
467,"University at Buffalo, State University of New York",,New York,MOT
468,Utica University,,New York,MOT
445,"Yeshiva University, Jack and Pearl Resnick Campus",,New York,OTD
469,"York College, The City University of New York",,New York,MOT
473,Cabarrus College of Health Sciences,,North Carolina,MOT
470,Duke University School of Medicine,,North Carolina,OTD
474,East Carolina University,,North Carolina,MOT
475,Lenoir-Rhyne University,,North Carolina,MOT
471,Methodist University,,North Carolina,OTD
476,"Pfeiffer University, Albemarle Campus",,North Carolina,MOT
477,University of North Carolina at Chapel Hill,,North Carolina,MOT
472,Wingate University,,North Carolina,OTD
478,Winston-Salem State University,,North Carolina,MOT
479,"University of Mary, Bismark",,North Dakota,OTD
480,University of North Dakota,,North Dakota,OTD
481,Cleveland State University,,Ohio,OTD
482,Kettering College,,Ohio,OTD
487,Muskingum University,,Ohio,MOT
483,Ohio State University,,Ohio,OTD
488,Shawnee State University,,Ohio,MOT
489,University of Cincinnati,,Ohio,MOT
490,University of Findlay,,Ohio,MOT
484,University of Findlay,,Ohio,OTD
485,University of Toledo,,Ohio,OTD
491,Walsh University,,Ohio,MOT
492,Wilmington College,,Ohio,MOT
486,Xavier University,,Ohio,OTD
493,"Northeastern State University, Muskogee Campus",,Oklahoma,MOT
494,University of Oklahoma Health Sciences Center,,Oklahoma,MOT
495,Pacific University,,Oregon,OTD
505,Alvernia University,,Pennsylvania,MOT
506,Carlow University,,Pennsylvania,MOT
496,Cedar Crest College,,Pennsylvania,OTD
497,Chatham University,,Pennsylvania,OTD
507,Duquesne University,,Pennsylvania,MOT
498,Duquesne University,,Pennsylvania,OTD
508,Elizabethtown College,,Pennsylvania,MOT
499,Elizabethtown College,,Pennsylvania,OTD
509,Gannon University,,Pennsylvania,MOT
510,Gwynedd Mercy University,,Pennsylvania,MOT
511,Messiah University,,Pennsylvania,MOT
512,Misericordia University,,Pennsylvania,MOT
513,Moravian University,,Pennsylvania,MOT
514,Salus University,,Pennsylvania,MOT
500,Slippery Rock University,,Pennsylvania,OTD
515,St. Francis University,,Pennsylvania,MOT
516,St. Joseph's University,,Pennsylvania,MOT
501,St. Joseph's University,,Pennsylvania,OTD
517,Temple University,,Pennsylvania,MOT
518,Thomas Jefferson University-Center City Campus,,Pennsylvania,MOT
502,Thomas Jefferson University-Center City Campus,,Pennsylvania,OTD
519,Thomas Jefferson University-East Falls Campus,,Pennsylvania,MOT
503,University of Pittsburgh,,Pennsylvania,OTD
520,University of Scranton,,Pennsylvania,MOT
504,Widener University,,Pennsylvania,OTD
521,"University of Puerto Rico, Medical Sciences Center",,Puerto Rico,MOT
522,"Johnson & Wales University, Providence",,Rhode Island,OTD
523,New England Institute of Technology,,Rhode Island,MOT
524,Medical University of South Carolina,,South Carolina,OTD
525,Presbyterian College,,South Carolina,OTD
526,University of South Dakota,,South Dakota,OTD
530,Belmont University,,Tennessee,MOT
527,Belmont University,,Tennessee,OTD
528,Lincoln Memorial University,,Tennessee,OTD
531,Milligan University,,Tennessee,MOT
532,Tennessee State University,,Tennessee,MOT
533,Tennessee Wesleyan University - Downtown Knoxville Site,,Tennessee,MOT
534,University of Tennessee Health Science Center,,Tennessee,MOT
529,University of Tennessee at Chattanooga,,Tennessee,OTD
544,Abilene Christian University,,Texas,MOT
535,Abilene Christian University,,Texas,OTD
536,Baylor University,,Texas,OTD
537,Texas Tech University Health Sciences Center,,Texas,OTD
538,Texas Woman's University,,Texas,OTD
539,U.S. Army Medical Center of Excellence/Baylor University,,Texas,OTD
545,University of Mary Hardin-Baylor,,Texas,MOT
546,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,MOT
540,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,OTD
541,"University of St. Augustine for Health Sciences, Dallas Campus",,Texas,OTD
542,University of Texas Health Science Center at San Antonio,,Texas,OTD
543,University of Texas Medical Branch,,Texas,OTD
547,University of Texas at El Paso,,Texas,MOT
548,University of Texas at Tyler,,Texas,MOT
549,University of Utah,,Utah,MOT
550,"Emory and Henry University, Marion Campus",,Virginia,OTD
554,James Madison University,,Virginia,MOT
551,Mary Baldwin University,,Virginia,OTD
555,Radford University,,Virginia,MOT
556,Shenandoah University,,Virginia,MOT
552,Shenandoah University,,Virginia,OTD
557,"Shenandoah University, Scholar Plaza Campus",,Virginia,MOT
553,Virginia Commonwealth University,,Virginia,OTD
559,Eastern Washington University,,Washington,MOT
560,University of Puget Sound,,Washington,MOT
