program_id,school_name,city,state,degree_type,url_status,url_confidence,acota_program_url,acota_match_name,acota_match_score,discovery_notes,last_updated
393,Tufts University,,Massachusetts,OTD,pending,,,,,,
394,Western New England University,,Massachusetts,OTD,pending,,,,,,
400,Worcester State University,,Massachusetts,MOT,pending,,,,,,
403,Baker College Center for Graduate Studies,,Michigan,MOT,pending,,,,,,
404,Davenport University,,Michigan,MOT,pending,,,,,,
405,Eastern Michigan University,,Michigan,MOT,pending,,,,,,
406,Grand Valley State University,,Michigan,MOT,pending,,,,,,
407,Saginaw Valley State University,,Michigan,MOT,pending,,,,,,
401,"University of Michigan, Flint",,Michigan,OTD,pending,,,,,,
408,Wayne State University,,Michigan,MOT,pending,,,,,,
402,Western Michigan University,,Michigan,OTD,pending,,,,,,
412,College of St. Scholastica,,Minnesota,MOT,pending,,,,,,
413,St. Catherine University,,Minnesota,MOT,pending,,,,,,
410,St. Catherine University,,Minnesota,OTD,pending,,,,,,
411,University of Minnesota,,Minnesota,OTD,pending,,,,,,
415,University of Mississippi Medical Center,,Mississippi,MOT,pending,,,,,,
414,University of Mississippi Medical Center,,Mississippi,OTD,pending,,,,,,
419,Cox College,,Missouri,MOT,pending,,,,,,
420,Maryville University,,Missouri,MOT,pending,,,,,,
421,Missouri State University,,Missouri,MOT,pending,,,,,,
416,Rockhurst University,,Missouri,OTD,pending,,,,,,
422,St. Louis University,,Missouri,MOT,pending,,,,,,
417,University of Missouri,,Missouri,OTD,pending,,,,,,
423,Washington University,,Missouri,MOT,pending,,,,,,
418,Washington University,,Missouri,OTD,pending,,,,,,
424,Rocky Mountain College,,Montana,OTD,pending,,,,,,
425,"University of Mary, Billings",,Montana,OTD,pending,,,,,,
429,College of Saint Mary,,Nebraska,MOT,pending,,,,,,
426,College of Saint Mary,,Nebraska,OTD,pending,,,,,,
427,Creighton University,,Nebraska,OTD,pending,,,,,,
430,Nebraska Methodist College,,Nebraska,MOT,pending,,,,,,
428,University of Nebraska Medical Center,,Nebraska,OTD,pending,,,,,,
431,Touro University Nevada,,Nevada,OTD,pending,,,,,,
432,"University of Nevada, Las Vegas",,Nevada,OTD,pending,,,,,,
433,"MCPHS University, Manchester Campus",,New Hampshire,MOT,pending,,,,,,
434,University of New Hampshire,,New Hampshire,MOT,pending,,,,,,
438,Kean University,,New Jersey,MOT,pending,,,,,,
435,Kean University,,New Jersey,OTD,pending,,,,,,
436,Monmouth University,,New Jersey,OTD,pending,,,,,,
437,"Rutgers, The State University of New Jersey",,New Jersey,OTD,pending,,,,,,
439,Seton Hall University,,New Jersey,MOT,pending,,,,,,
440,Stockton University,,New Jersey,MOT,pending,,,,,,
441,University of New Mexico,,New Mexico,MOT,pending,,,,,,
446,Clarkson University,,New York,MOT,pending,,,,,,
447,Columbia University,,New York,MOT,pending,,,,,,
449,Dominican University New York,,New York,MOT,pending,,,,,,
448,DYouville University,,New York,MOT,pending,,,,,,
450,Hofstra University,,New York,MOT,pending,,,,,,
451,Iona University,,New York,MOT,pending,,,,,,
452,Ithaca College,,New York,MOT,pending,,,,,,
453,Keuka College,,New York,MOT,pending,,,,,,
454,Le Moyne College,,New York,MOT,pending,,,,,,
455,"Long Island University, Brooklyn",,New York,MOT,pending,,,,,,
456,Maria College,,New York,MOT,pending,,,,,,
457,Mercy University,,New York,MOT,pending,,,,,,
458,Nazareth University,,New York,MOT,pending,,,,,,
459,New York Institute of Technology,,New York,MOT,pending,,,,,,
442,New York Institute of Technology,,New York,OTD,pending,,,,,,
460,New York University,,New York,MOT,pending,,,,,,
461,Pace University - Westchester Campus,,New York,MOT,pending,,,,,,
443,Roberts Wesleyan University,,New York,OTD,pending,,,,,,
462,Russell Sage College,,New York,MOT,pending,,,,,,
444,Russell Sage College,,New York,OTD,pending,,,,,,
463,St. Bonaventure University,,New York,MOT,pending,,,,,,
464,State University of New York Downstate Health Sciences University,,New York,MOT,pending,,,,,,
465,Stony Brook University,,New York,MOT,pending,,,,,,
466,Touro University,,New York,MOT,pending,,,,,,
467,"University at Buffalo, State University of New York",,New York,MOT,pending,,,,,,
468,Utica University,,New York,MOT,pending,,,,,,
445,"Yeshiva University, Jack and Pearl Resnick Campus",,New York,OTD,pending,,,,,,
469,"York College, The City University of New York",,New York,MOT,pending,,,,,,
473,Cabarrus College of Health Sciences,,North Carolina,MOT,pending,,,,,,
470,Duke University School of Medicine,,North Carolina,OTD,pending,,,,,,
474,East Carolina University,,North Carolina,MOT,pending,,,,,,
475,Lenoir-Rhyne University,,North Carolina,MOT,pending,,,,,,
471,Methodist University,,North Carolina,OTD,pending,,,,,,
476,"Pfeiffer University, Albemarle Campus",,North Carolina,MOT,pending,,,,,,
477,University of North Carolina at Chapel Hill,,North Carolina,MOT,pending,,,,,,
472,Wingate University,,North Carolina,OTD,pending,,,,,,
478,Winston-Salem State University,,North Carolina,MOT,pending,,,,,,
479,"University of Mary, Bismark",,North Dakota,OTD,pending,,,,,,
480,University of North Dakota,,North Dakota,OTD,pending,,,,,,
481,Cleveland State University,,Ohio,OTD,pending,,,,,,
482,Kettering College,,Ohio,OTD,pending,,,,,,
487,Muskingum University,,Ohio,MOT,pending,,,,,,
483,Ohio State University,,Ohio,OTD,pending,,,,,,
488,Shawnee State University,,Ohio,MOT,pending,,,,,,
489,University of Cincinnati,,Ohio,MOT,pending,,,,,,
490,University of Findlay,,Ohio,MOT,pending,,,,,,
484,University of Findlay,,Ohio,OTD,pending,,,,,,
485,University of Toledo,,Ohio,OTD,pending,,,,,,
491,Walsh University,,Ohio,MOT,pending,,,,,,
492,Wilmington College,,Ohio,MOT,pending,,,,,,
486,Xavier University,,Ohio,OTD,pending,,,,,,
493,"Northeastern State University, Muskogee Campus",,Oklahoma,MOT,pending,,,,,,
494,University of Oklahoma Health Sciences Center,,Oklahoma,MOT,pending,,,,,,
495,Pacific University,,Oregon,OTD,pending,,,,,,
505,Alvernia University,,Pennsylvania,MOT,pending,,,,,,
506,Carlow University,,Pennsylvania,MOT,pending,,,,,,
496,Cedar Crest College,,Pennsylvania,OTD,pending,,,,,,
497,Chatham University,,Pennsylvania,OTD,pending,,,,,,
507,Duquesne University,,Pennsylvania,MOT,pending,,,,,,
498,Duquesne University,,Pennsylvania,OTD,pending,,,,,,
