program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,discovered_url_2,search_query_used,scrape_notes,estimated_year
325,"University of St. Augustine for Health Sciences, California Campus",,California,MOT,,url_found,3,medium,https://www.usa.edu/college-of-rehabilitative-sciences/master-of-occupational-therapy-mot/mot-tuition-fees/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,"University of St. Augustine for Health Sciences, California Campus Master of Occupational Therapy tuition cost of attendance",,
315,"University of St. Augustine for Health Sciences, California Campus",,California,OTD,,url_found,3,medium,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,https://www.usa.edu/college-of-rehabilitative-sciences/master-of-occupational-therapy-mot/mot-tuition-fees/,"University of St. Augustine for Health Sciences, California Campus Doctor of Occupational Therapy tuition cost of attendance",,
316,"University of the Pacific, Sacramento",,California,OTD,,url_found,3,medium,https://www.pacific.edu/financial-aid/cost-of-attendance/tuition-fees,https://www.pacific.edu/financial-aid/cost-of-attendance,"University of the Pacific, Sacramento OTD tuition fees cost",,
326,"West Coast University, Los Angeles",,California,MOT,,url_found,3,high,https://westcoastuniversity.edu/tuition-financial-aid/tuition-fees,https://westcoastuniversity.smartcatalogiq.com/en/summer-2024/summer-2024/financial-policies-and-information/tuition-and-fees/texas-graduate-programs/master-of-science-in-occupational-therapy,"West Coast University, Los Angeles Master of Occupational Therapy tuition cost of attendance",,
317,"West Coast University, Los Angeles",,California,OTD,,url_found,3,medium,https://www.uws.edu/2025-2026-tuition-and-cost-of-attendance-details-doctor-of-occupational-therapy/,https://westcoastuniversity.edu/tuition-financial-aid/tuition-fees,"West Coast University, Los Angeles Doctor of Occupational Therapy tuition cost of attendance",,2025
327,Colorado Mesa University,,Colorado,MOT,,url_found,3,high,https://www.coloradomesa.edu/kinesiology/documents/estimated_msot-tuition-and-fees1.pdf,https://catalog.coloradomesa.edu/tuition-fees-residence-life-student-accounts/tuition-fee-schedule/,Colorado Mesa University Master of Occupational Therapy tuition cost of attendance,,
328,Colorado State University,,Colorado,MOT,,url_found,3,high,https://financialaid.colostate.edu/cost-of-attendance/,https://catalog.colostate.edu/general-catalog/financial/tuition-fees/,Colorado State University Master of Occupational Therapy tuition cost of attendance,,
330,Quinnipiac University,,Connecticut,MOT,,url_found,3,high,https://research.com/best-colleges/quinnipiac-university/tuition-fees,https://www.qu.edu/schools/health-sciences/programs/dual-degree/bs-master-occupational-therapy/tuition-and-financial-aid/,Quinnipiac University Master of Occupational Therapy tuition cost of attendance,,
329,Quinnipiac University,,Connecticut,OTD,,url_found,3,medium,https://research.com/advice/online-occupational-therapy-masters-degree-program-costs-tuition-fees,https://grad.qu.edu/tuition-and-financial-aid/costs-and-budgets/,Quinnipiac University Doctor of Occupational Therapy tuition cost of attendance,,
331,Sacred Heart University,,Connecticut,MOT,,url_found,3,high,https://research.com/best-colleges/sacred-heart-university/tuition-fees,https://www.sacredheart.edu/offices--departments-directory/student-accounts/tuition--fees/,Sacred Heart University Master of Occupational Therapy tuition cost of attendance,,
332,University of Hartford,,Connecticut,MOT,,url_found,3,high,https://www.hartford.edu/about/offices-divisions/finance-administration/financial-affairs/bursar-office/tuition-fees/graduate-tuition.aspx,https://www.hartford.edu/admission/tuition-fees/default.aspx,University of Hartford Master of Occupational Therapy tuition cost of attendance,,
333,Delaware State University,,Delaware,MOT,,url_found,3,medium,https://www.desu.edu/admissions/financial-aid/tuition-fees/2024-2025-tuition-fees,https://research.com/advice/online-occupational-therapy-masters-degree-program-costs-tuition-fees,Delaware State University Master of Occupational Therapy program cost fees,,2024
334,Howard University,,District of Columbia,OTD,,url_found_low_confidence,3,low,https://financialservices.howard.edu/tuition-fees/tuition-faqs/cost-attendance/2022-2023-estimated-cost-attendance,https://cnahs.howard.edu/sites/cnahs.howard.edu/files/2023-09/OTD%202023-24%20Tuition%20%26%20Fees%5B53%5D_1.pdf,Howard University Doctor of Occupational Therapy program cost fees,,2022
