school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested,program_length_months,tuition_per_year,tuition_instate,tuition_is_oos,total_program_cost,total_program_cost_instate,cost_source_url
0202,Northeastern University,,Massachusetts,DPT,84.4,97.93,192.0,,,,,,,https://bouve.northeastern.edu/wp-content/uploads/2024/10/mgh-nu-financial-fact-sheet-2024.pdf
0203,Simmons University,,Massachusetts,DPT,85.1,97.3,74.0,36.0,58835.0,,,171851.0,,https://www.simmons.edu/sites/default/files/2025-09/2025-dpt-student-financial-fact-sheet-simmons.pdf
0204,Springfield College,,Massachusetts,DPT,91.1,97.47,79.0,35.0,58176.0,,,152345.0,,https://springfield.edu/sites/default/files/capte-financial-fact-sheet-2025-2026.pdf
0205,University of Massachusetts Lowell,,Massachusetts,DPT,86.6,100.0,67.0,36.0,45794.0,,,138000.0,,https://www.uml.edu/health-sciences/pt/graduate/financial-fact-sheet.aspx
0219,MGH Institute of Health Professions,,Massachusetts,DPT,83.8,99.26,136.0,,,,,,,
0220,American International College,,Massachusetts,DPT,78.9,96.15,52.0,36.0,,,,,,https://www.aic.edu/school-of-health-sciences/program/physical-therapy/
0222,MCPHS University,,Massachusetts,DPT,82.6,98.55,69.0,32.0,60600.0,,,151500.0,,https://www.mcphs.edu/admission-and-aid/cost-and-aid/tuition-and-fees
0225,Tufts University,,Massachusetts,DPT,68.8,,80.0,33.0,,,,,,
0301,Northern Arizona University,,Arizona,DPT,81.1,98.9,90.0,25.0,20495.0,,,65950.0,,http://nau.edu/chhs/physical-therapy/
0303,A.T. Still University of Health Sciences,,Arizona,DPT,83.3,100.0,120.0,30.0,44330.0,,,129940.0,,https://www.atsu.edu/pdf/2026-December_grads-dpt-student-financial-fact-sheet.pdf
0307,Franklin Pierce University - AZ,,Arizona,DPT,63.5,92.86,126.0,36.0,54156.0,,,112952.0,,https://franklinpierce.edu/academics/programs/physical-therapy/2024-2025-dpt-FPU-AZ-student-financial-fact-sheet.pdf
0310,Northern Arizona University - EXPANSION PROGRAM  in PHOENIX,,Arizona,DPT,88.4,100.0,95.0,33.0,21696.0,,,100559.0,,https://healthprofessions.publichealth.arizona.edu/academics/physical-therapy-program/admissions/financial-fact-sheet
0312,Midwestern University - AZ,,Arizona,DPT,79.8,96.97,99.0,30.0,48490.0,,,128048.0,,https://www.midwestern.edu/documents/dpt-az-student-financial-fact-sheet
0313,Creighton University-Arizona Health Education Alliance,,Arizona,DPT,,,,33.0,37934.0,,,184066.0,,https://www.creighton.edu/sites/default/files/PHX-2025-dpt-student-financial-fact-sheet.pdf
0314,Tufts University - Phoenix,,Arizona,DPT,51.7,,58.0,,84000.0,,,252000.0,,https://medicine.tufts.edu/admissions-financial-aid/admission-program/doctor-physical-therapy/dpt-phoenix
0316,Northern Arizona University - Hybrid Expansion Program,,Arizona,DPT,,,,32.0,35033.0,17540.0,1.0,105066.0,46773.33333333333,https://legacy.nau.edu/wp-content/uploads/sites/147/10.2023-Hybrid_dpt-student-financial-fact-sheet_Hybrid.pdf
0401,University of Central Arkansas,,Arkansas,DPT,92.9,100.0,113.0,36.0,26939.0,,,62205.0,,https://uca.edu/pt/files/2026/01/2025-UCA-dpt-student-financial-fact-sheet-v2-1.pdf
0405,Arkansas State University,,Arkansas,DPT,86.8,100.0,53.0,36.0,13356.0,,0.0,40068.0,,https://www.astate.edu/programs/dpt-in-physical-therapy.html
