program_id,school_name,city,state
18,"University at Buffalo, State University of New York",,New York
27,Utica University,,New York
194,Campbell University,,North Carolina
188,Duke University,,North Carolina
189,East Carolina University,,North Carolina
193,Elon University,,North Carolina
196,High Point University,,North Carolina
197,Methodist University,,North Carolina
190,University of North Carolina at Chapel Hill,,North Carolina
192,Western Carolina University,,North Carolina
195,Wingate University,,North Carolina
191,Winston-Salem State University,,North Carolina
200,University of Jamestown,,North Dakota
199,University of Mary,,North Dakota
198,University of North Dakota,,North Dakota
213,Bowling Green State University,,Ohio
201,Cleveland State University,,Ohio
208,Mount St Joseph University,,Ohio
204,Ohio State University,,Ohio
203,Ohio University,,Ohio
206,University of Cincinnati,,Ohio
211,University of Dayton,,Ohio
210,University of Findlay - Traditional,,Ohio
205,University of Findlay - Weekend,,Ohio
212,University of Mount Union,,Ohio
202,University of Toledo,,Ohio
209,Walsh University,,Ohio
207,Youngstown State University,,Ohio
214,Langston University,,Oklahoma
216,Oklahoma City University,,Oklahoma
215,University of Oklahoma Health Sciences Center,,Oklahoma
218,George Fox University,,Oregon
220,Oregon State University - Cascades,,Oregon
217,Pacific University,,Oregon
219,Western University of Health Sciences - Oregon,,Oregon
237,Alvernia University,,Pennsylvania
221,Arcadia University,,Pennsylvania
240,Arcadia University - Online Hybrid DPT Program,,Pennsylvania
232,Chatham University,,Pennsylvania
238,DeSales University,,Pennsylvania
222,Drexel University,,Pennsylvania
229,Duquesne University,,Pennsylvania
230,Gannon University - Pennsylvania,,Pennsylvania
236,Lebanon Valley College,,Pennsylvania
239,Messiah University,,Pennsylvania
231,Misericordia University,,Pennsylvania
241,Moravian University,,Pennsylvania
234,Neumann University,,Pennsylvania
235,Saint Francis University,,Pennsylvania
223,Saint Joseph's University,,Pennsylvania
242,Seton Hill University,,Pennsylvania
228,Slippery Rock University of Pennsylvania,,Pennsylvania
224,Temple University,,Pennsylvania
225,Thomas Jefferson University,,Pennsylvania
226,University of Pittsburgh,,Pennsylvania
243,University of Pittsburgh - Expansion Program,,Pennsylvania
227,University of Scranton,,Pennsylvania
233,Widener University,,Pennsylvania
299,University of Puerto Rico - Medical Sciences Campus,,Puerto Rico
244,University of Rhode Island,,Rhode Island
247,Anderson University,,South Carolina
248,Charleston Southern University,,South Carolina
245,Medical University of South Carolina,,South Carolina
246,University of South Carolina - Columbia,,South Carolina
250,Augustana University,,South Dakota
249,University of South Dakota,,South Dakota
255,Belmont University,,Tennessee
254,East Tennessee State University,,Tennessee
257,Lincoln Memorial University,,Tennessee
256,South College - Knoxville,,Tennessee
252,Tennessee State University,,Tennessee
253,University of Tennessee Chattanooga,,Tennessee
251,University of Tennessee Health Science Center,,Tennessee
267,Angelo State University,,Texas
263,Army - Baylor University,,Texas
275,Baylor University,,Texas
265,Hardin-Simmons University,,Texas
258,Texas State University,,Texas
259,Texas Tech University Health Sciences Center,,Texas
269,Texas Woman's University,,Texas
260,Texas Woman's University - EXPANSION PROGRAM  in Houston,,Texas
274,University of Mary Hardin-Baylor,,Texas
270,University of North Texas Health Science Center - Fort  Worth,,Texas
271,University of St Augustine for Health Sciences -  ONLINE FLEX EXPANSION PROGRAM in Austin,,Texas
268,University of St Augustine for Health Sciences - Austin,,Texas
276,University of St. Augustine - Dallas,,Texas
261,University of Texas Health Science Center at San  Antonio,,Texas
262,University of Texas Medical Branch at Galveston,,Texas
272,University of Texas Medical Branch at Galveston -  BRIDGE PROGRAM FOR PTAS,,Texas
277,University of Texas Medical Branch at Galveston -  Hybrid Expansion Program,,Texas
264,University of Texas Southwestern Medical Center,,Texas
266,University of Texas at El Paso,,Texas
273,University of the Incarnate Word,,Texas
279,Rocky Mountain University of Health Professions,,Utah
278,University of Utah,,Utah
280,University of Utah - Expansion Program One,,Utah
281,University of Vermont,,Vermont
10,Emory and Henry College,,Virginia
5,Hampton University,,Virginia
9,Mary Baldwin University,,Virginia
4,Marymount University,,Virginia
1,Old Dominion University,,Virginia
7,Radford University,,Virginia
3,Shenandoah University,,Virginia
8,Shenandoah University - EXPANSION PROGRAM at  Northern Virginia Campus,,Virginia
6,University of Lynchburg,,Virginia
2,Virginia Commonwealth University,,Virginia
282,Eastern Washington University,,Washington
285,Pacific Northwest University of Health Sciences,,Washington
283,University of Puget Sound,,Washington
284,University of Washington,,Washington
286,Whitworth University,,Washington
289,Marshall University,,West Virginia
287,West Virginia University,,West Virginia
288,Wheeling University,,West Virginia
291,Bellin College,,Wisconsin
297,Carroll University,,Wisconsin
296,Concordia University Wisconsin,,Wisconsin
290,Concordia University Wisconsin - Expansion Program,,Wisconsin
293,Marquette University,,Wisconsin
294,University of Wisconsin - Lacrosse,,Wisconsin
295,University of Wisconsin - Madison,,Wisconsin
298,University of Wisconsin - Milwaukee,,Wisconsin
292,University of Wisconsin-Stevens Point,,Wisconsin
