school_name,city,state,degree_type,program_url,outcomes_url,matched_program_id,match_score,match_action
University of St Augustine for Health Sciences-California,San Marcos,CA,Doctor of Physical Therapy,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,69,1.000,url_added
University of St Augustine for Health Sciences-California (Expansion 2),San Marcos,CA,DPT,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,69,1.000,url_added
University of St Augustine for Health Sciences-California - (Expansion),San Marcos,CA,Doctor of Physical Therapy,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,69,1.000,url_added
University of the Pacific,Stockton,CA,Doctor of Physical Therapy,https://www.pacific.edu/healthsciences/programs/doctor-of-physical-therapy,https://www.pacific.edu/healthsciences/programs/doctor-of-physical-therapy,64,1.000,url_added
West Coast University,Los Angeles,CA,Doctor of Physical Therapy,https://westcoastuniversity.edu/programs/doctor-physical-therapy,https://westcoastuniversity.edu/programs/doctor-physical-therapy,73,1.000,url_added
Western University of Health Sciences-California,Pomona,CA,Doctor of Physical Therapy,https://www.westernu.edu/health-sciences/dpt/,https://www.westernu.edu/health-sciences/dpt/,67,1.000,url_added
Regis University,Denver,CO,Doctor of Physical Therapy,https://www.regis.edu/academics/majors-and-programs/graduate/physical-therapy-dpt,https://www.regis.edu/academics/colleges-and-schools/rueckert-hartman/physical-therapy/dpt-outcomes,76,1.000,url_added
University of Colorado,Aurora,CO,Doctor of Physical Therapy,https://medschool.cuanschutz.edu/physical-therapy-program,https://medschool.cuanschutz.edu/physical-therapy-program/education-programs/doctor-of-physical-therapy/about-our-program/dpt-statistics-demographics,75,1.000,url_added
University of Colorado - Expansion,Colorado,CO,Doctor of Physical Therapy,https://medschool.cuanschutz.edu/physical-therapy-program,https://medschool.cuanschutz.edu/physical-therapy-program/education-programs/doctor-of-physical-therapy/about-our-program/dpt-statistics-demographics,,0.815,no_match
Quinnipiac University,Hamden,CT,Doctor of Physical Therapy,https://www.qu.edu/schools/health-sciences/programs/entry-level-doctor-physical-therapy.html,https://www.qu.edu/schools/health-sciences/programs/entry-level-doctor-physical-therapy.html,77,1.000,url_added
Sacred Heart University,Fairfield,CT,Doctor of Physical Therapy,https://www.sacredheart.edu/academics/colleges--schools/college-of-health-professions/departments/physical-therapy/,https://www.sacredheart.edu/majors--programs/physical-therapy---dpt/student-outcomes/,80,1.000,url_added
University of Connecticut,Storrs,CT,Doctor of Physical Therapy,https://physicaltherapy.cahnr.uconn.edu/,https://physicaltherapy.cahnr.uconn.edu/student-performance/,78,1.000,url_added
University of Hartford,West Hartford,CT,Doctor of Physical Therapy,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx,79,1.000,url_added
University of Delaware,Newark,DE,Doctor of Physical Therapy,https://www.udel.edu/academics/colleges/chs/departments/pt/,https://www.udel.edu/academics/colleges/chs/departments/pt/about/student-outcomes/,81,1.000,url_added
Howard University,Washington,DC,Doctor of Physical Therapy,https://cnahs.howard.edu/departments/physical-therapy,https://cnahs.howard.edu/departments/physical-therapy/physical-therapy-program,82,1.000,url_added
The George Washington University,Washington,DC,Doctor of Physical Therapy,http://physicaltherapy.smhs.gwu.edu,https://smhs.gwu.edu/physical-therapy/dpt-program/program-outcomes,83,0.933,url_added
AdventHealth University,Orlando,FL,Doctor of Physical Therapy,https://www.ahu.edu/academics/doctor-of-physical-therapy,https://www.ahu.edu/programs/doctor-of-physical-therapy/program-outcomes,98,1.000,url_added
Florida Agricultural and Mechanical University,Tallahassee,FL,Doctor of Physical Therapy,https://www.famu.edu/academics/all-programs/ahealth/physical-therapy-dpt.php,https://www.famu.edu/academics/all-programs/ahealth/physical-therapy-dpt.php,84,1.000,url_added
Florida Gulf Coast University,Fort Myers,FL,Doctor of Physical Therapy,https://www.fgcu.edu/mariebcollege/rehabilitationsciences/physicaltherapy/doctorofphysicaltherapy-dpt,https://www.fgcu.edu/mariebcollege/rehabilitationsciences/physicaltherapy/doctorofphysicaltherapy-dpt,92,1.000,url_added
