state,program_type,school,pass_rate
Idaho,OTA Level Program,Idaho State University,100
Illinois,OT Doctoral-Level Programs,"Midwestern University, Downers Grove",93
Illinois,OT Doctoral-Level Programs,Rush University,100
Illinois,OT Masters-Level Programs,Chicago State University,63
Illinois,OT Masters-Level Programs,DePaul University,100
Illinois,OT Masters-Level Programs,Elmhurst University,94
Illinois,OT Masters-Level Programs,Governors State University,54
Illinois,OT Masters-Level Programs,Lewis University,92
Illinois,OT Masters-Level Programs,North Central College,86
Illinois,OT Masters-Level Programs,University of Illinois Chicago,80
Illinois,OTA Level Program,Fox College,80
Illinois,OTA Level Program,"Illinois Central College, Peoria Campus",100
Illinois,OTA Level Program,Lewis & Clark Community College,82
Illinois,OTA Level Program,Lincoln Land Community College,67
Illinois,OTA Level Program,McHenry County College,100
Illinois,OTA Level Program,Parkland College,75
Illinois,OTA Level Program,Shawnee Community College,71
Illinois,OTA Level Program,South Suburban College of Cook County,0
Illinois,OTA Level Program,Wright College,58
Indiana,OT Doctoral-Level Programs,Huntington University,97
Indiana,OT Doctoral-Level Programs,Indiana University,100
Indiana,OT Doctoral-Level Programs,Indiana Wesleyan University,93
Indiana,OT Doctoral-Level Programs,University of Indianapolis,100
Indiana,OT Masters-Level Programs,Indiana State University,100
Indiana,OT Masters-Level Programs,"Indiana University, South Bend",77
Indiana,OT Masters-Level Programs,University of Indianapolis,100
Indiana,OT Masters-Level Programs,University of Southern Indiana,97
Indiana,OTA Level Program,Huntington University,83
Indiana,OTA Level Program,Indiana Wesleyan University,100
Indiana,OTA Level Program,University of Southern Indiana,93
Iowa,OT Doctoral-Level Programs,Drake University,98
Iowa,OT Doctoral-Level Programs,St. Ambrose University,94
Iowa,OT Masters-Level Programs,Allen College,100
Iowa,OTA Level Program,Hawkeye Community College,91
Iowa,OTA Level Program,Indian Hills Community College,100
Iowa,OTA Level Program,"Kirkwood Community College, Linn County Regional Center",93
Kansas,OT Doctoral-Level Programs,University of Kansas Medical Center,96
Kansas,OT Doctoral-Level Programs,"University of Saint Mary, Leavenworth",100
Kansas,OTA Level Program,"Cleveland University, Kansas City",71
Kansas,OTA Level Program,"Neosho County Community College, Ottawa",100
Kansas,OTA Level Program,Newman University,100
Kansas,OTA Level Program,Washburn University,71
Kentucky,OT Doctoral-Level Programs,Eastern Kentucky University,100
Kentucky,OT Doctoral-Level Programs,Spalding University,87
Kentucky,OT Masters-Level Programs,Eastern Kentucky University,83
Kentucky,OT Masters-Level Programs,"Murray State University, Paducah Regional Campus",100
Kentucky,OTA Level Program,Jefferson Community and Technical College,67
Kentucky,OTA Level Program,Madisonville Community College,80
Kentucky,OTA Level Program,Ross College in Hopkinsville,100
Louisiana,OT Masters-Level Programs,Louisiana State University Health New Orleans,100
Louisiana,OT Masters-Level Programs,University of Louisiana at Monroe,95
Louisiana,OTA Level Program,Bossier Parish Community College,85
Louisiana,OTA Level Program,Delgado Community College,86
Louisiana,OTA Level Program,University of Louisiana at Monroe,96
Maine,OT Masters-Level Programs,Husson University,91
Maine,OT Masters-Level Programs,University of New England,91
Maine,OT Masters-Level Programs,University of Southern Maine at Lewiston-Auburn College,82
Maine,OTA Level Program,Kennebec Valley Community College,100
Maryland,OT Doctoral-Level Programs,Towson University,100
Maryland,OT Masters-Level Programs,Towson University,100
Maryland,OTA Level Program,Allegany College of Maryland,78
Maryland,OTA Level Program,Community College of Baltimore County at Catonsville,75
Maryland,OTA Level Program,Wor-Wic Community College,100
Massachusetts,OT Doctoral-Level Programs,"Boston University, College of Health & Rehabilitation Sciences (Sargent College)",97
Massachusetts,OT Doctoral-Level Programs,MGH Institute of Health Professions,100
Massachusetts,OT Doctoral-Level Programs,Tufts University,100
Massachusetts,OT Doctoral-Level Programs,Western New England University,79
Massachusetts,OT Masters-Level Programs,American International College,55
Massachusetts,OT Masters-Level Programs,Bay Path University-East Longmeadow Campus,88
Massachusetts,OT Masters-Level Programs,Regis College,89
Massachusetts,OT Masters-Level Programs,Salem State University,87
Massachusetts,OT Masters-Level Programs,Springfield College,97
Massachusetts,OT Masters-Level Programs,Worcester State University,100
Massachusetts,OTA Level Program,Bristol Community College,100
Massachusetts,OTA Level Program,North Shore Community College,100
Massachusetts,OTA Level Program,Quinsigamond Community College,80
Massachusetts,OTA Level Program,Springfield Technical Community College,80
Michigan,OT Doctoral-Level Programs,"University of Michigan, Flint",89
Michigan,OT Doctoral-Level Programs,Western Michigan University,93
Michigan,OT Masters-Level Programs,Baker College Center for Graduate Studies,100
Michigan,OT Masters-Level Programs,Davenport University,97
Michigan,OT Masters-Level Programs,Eastern Michigan University,97
Michigan,OT Masters-Level Programs,Grand Valley State University,98
Michigan,OT Masters-Level Programs,Saginaw Valley State University,100
Michigan,OT Masters-Level Programs,Wayne State University,96
Michigan,OTA Level Program,Baker College of Muskegon,50
Michigan,OTA Level Program,Baker College of Owosso,100
Michigan,OTA Level Program,Grand Rapids Community College,100
Michigan,OTA Level Program,Macomb Community College,88
Michigan,OTA Level Program,Mott Community College,100
Michigan,OTA Level Program,Western Michigan University,100
Middlesex,OT Masters-Level Programs,Brunel University London,75
Minnesota,OT Doctoral-Level Programs,St. Catherine University,90
Minnesota,OT Doctoral-Level Programs,University of Minnesota,94
